Gazepoint Analysis,v6.8.0
Processed on,Mon Oct 10 11:27:03 2022

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#), 
0, Drive View, 73.05, 3, AOI 3, 0, 29.874, 2, 2, 0.895, 7.665, 10.493, 26.000, 2, 13.500, 0.000, 
0, Drive View, 73.050, 4, AOI 4, 44.020, 7.706, 1, 2, 46.888, 1.150, 1.574, 5.000, 1, 4.000, 0.000, 

AOI Statistics (for each user)
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start, AOI Duration (sec - U=UserControlled), User ID, User Name, User Gender, User Age, Time to 1st View (sec) -1.0 means not viewed, Time Viewed (sec), Time Viewed (%), Fixations (#), Revisits (#), Clicks (#), 
0, Drive View, 73.050, 3, AOI 3, 0.000, 29.874, 2, User 2, M, 0, 1.133, 0.852, 1.167, 3.000, 2, 0, 
0, Drive View, 73.050, 3, AOI 3, 0.000, 29.874, 3, User 3, M, 0, 0.657, 14.477, 19.819, 49.000, 25, 0, 
0, Drive View, 73.050, 4, AOI 4, 44.020, 7.706, 2, User 2, M, 0, -1.000, 0.000, 0.000, 0.000, 0, 0, 
0, Drive View, 73.050, 4, AOI 4, 44.020, 7.706, 3, User 3, M, 0, 46.888, 1.150, 1.574, 5.000, 4, 0, 